Name,# of Reviews,Rating,Price,Cuisine,Neighbourhood,Price_,New_Price
Hotopia Downtown,21,3.5,0,Asian,Church-Wellesley Village,2.0,2.0
Beiteddine Lebanese Restaurant,17,4.0,0,Middle Eastern,Greektown,1.8571428571428572,2.0
Mymy Chicken,209,4.0,2,American,Willowdale,2.0,2.0
Gyukatsu Kyoto Katsugyu,83,3.5,2,Asian,Ryerson,1.8,2.0
DeSotos Eatery,68,4.0,2,American,Corso Italia,2.1666666666666665,2.0
Sash,8,4.5,0,American,Summer Hill,1.6666666666666667,2.0
Saigon Lotus,178,4.5,2,Asian,Chinatown,1.7727272727272727,2.0
Dandylion Restaurant,81,4.0,3,American,Beaconsfield Village,2.2857142857142856,3.0
Grazie Ristorante,416,4.0,2,European,Yonge and Eglinton,2.25,2.0
Planta Yorkville,426,4.0,2,European,Yorkville,2.7222222222222223,2.0
Daddyo’s Pasta & Salads,96,4.0,2,European,University of Toronto,,2.0
La Carnita,488,3.5,2,Mexican,Little Italy,2.272727272727273,2.0
Campo,48,4.0,2,European,North York,,2.0
Nobuya,190,4.0,2,Asian,Etobicoke,2.0,2.0
Epicure City BOM,153,4.0,2,Asian,Downtown Core,2.1016949152542375,2.0
Los Arrieros,31,4.0,2,South American,North York,,2.0
Sabor Brasil,18,4.0,2,South American,Corso Italia,2.1666666666666665,2.0
King’s Tacos,62,4.0,2,Mexican,Corso Italia,2.1666666666666665,2.0
Giulietta,83,4.0,3,European,Dufferin Grove,2.5,3.0
Knuckle Sandwich,102,4.0,2,American,East York,1.625,2.0
Jules Bistro,19,4.0,0,American,Leslieville,2.0,2.0
The Real Jerk,159,3.5,2,Carribean,Riverdale,2.0,2.0
Chadwick’s,196,4.0,2,American,The Annex,2.3703703703703702,2.0
Camel Restaurant,2,5.0,0,Middle Eastern,Greektown,1.8571428571428572,2.0
Stelvio,112,4.0,2,European,Trinity Bellwoods,2.1666666666666665,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
Bar Fancy,118,4.0,2,American,Beaconsfield Village,2.2857142857142856,2.0
Piano Piano,246,3.5,3,European,Entertainment District,2.4727272727272727,3.0
Chung Chun Rice Hotdog,52,4.0,0,American,Willowdale,2.0,2.0
Greenwood Smokehouse BBQ,143,3.5,2,American,Greektown,1.8571428571428572,2.0
Wow Sushi,410,4.0,2,American,Downtown Core,2.1016949152542375,2.0
Bloom Restaurant,62,4.5,3,American,Swansea,2.5,3.0
Local 1794,106,4.0,2,American,The Danforth,1.9285714285714286,2.0
Loga’s Corner,125,4.5,1,Asian,Parkdale,1.7692307692307692,1.0
Scaramouche Restaurant Pasta Bar & Grill,288,4.5,4,European,South Hill,,4.0
Country Style Hungarian Restaurant,115,3.5,2,European,The Annex,2.3703703703703702,2.0
Sakawa Coffee & Japanese Restaurant,104,4.5,2,Asian,Greektown,1.8571428571428572,2.0
Double D’s,95,3.0,2,American,Leslieville,2.0,2.0
Luna Junction,18,4.5,0,European,The Junction,2.0,2.0
Figs and Olives Kitchen,56,4.5,2,Middle Eastern,Downtown Core,2.1016949152542375,2.0
Lake Inez,87,4.5,3,American,Leslieville,2.0,3.0
Cafe Oro Di Napoli,37,4.5,2,American,Corktown,2.2857142857142856,2.0
The SOS,44,4.0,2,American,Entertainment District,2.4727272727272727,2.0
La Palma,166,3.5,3,European,Trinity Bellwoods,2.1666666666666665,3.0
Rodney’s Oyster House,374,4.0,3,American,Entertainment District,2.4727272727272727,3.0
Hokkaido Ramen Santouka,847,4.0,2,Asian,Ryerson,1.8,2.0
Yukashi Japanese Cuisine,26,4.5,4,Asian,Mount Pleasant and Davisville,2.2857142857142856,4.0
The Burger’s Priest,373,4.0,2,American,Queen Street West,2.25,2.0
Museum Tavern,220,3.5,2,American,The Annex,2.3703703703703702,2.0
Nando’s Flame Grilled Chicken,209,3.5,2,European,Discovery District,,2.0
Good Fork,334,4.0,2,American,Brockton Village,1.8333333333333333,2.0
Cluck Clucks,262,4.0,2,American,St. Lawrence,2.0,2.0
Smith Bros.,344,4.0,2,American,Scarborough,1.7777777777777777,2.0
Panera Bread,82,3.0,2,American,Unionville,,2.0
PG Clucks,154,4.5,1,American,Bickford Park,2.2857142857142856,1.0
Bellwoods Brewery,335,4.0,2,American,Ossington Strip,2.217391304347826,2.0
Ramen Isshin,41,4.5,2,Asian,Queen Street West,2.25,2.0
Darvish Restaurant,97,4.0,2,Middle Eastern,Downtown Core,2.1016949152542375,2.0
Hendriks Restaurant & Bar,86,4.0,3,American,Downtown Core,2.1016949152542375,3.0
Makan,1,5.0,0,Asian,Queen Street West,2.25,2.0
Churrasqueira Martins,52,3.5,2,European,Financial District,,2.0
George,258,4.5,4,American,Corktown,2.2857142857142856,4.0
Kokyo Japanese Restaurant,47,4.0,2,Asian,Financial District,,2.0
BlueBlood Steakhouse,97,3.5,4,American,Casa Loma,,4.0
Farmhouse Tavern,243,3.5,2,American,The Junction,2.0,2.0
Skippa,76,4.0,4,Asian,Bickford Park,2.2857142857142856,4.0
Batch,155,3.5,2,American,Downtown Core,2.1016949152542375,2.0
Rol San,739,3.0,2,Asian,Chinatown,1.7727272727272727,2.0
Lahore Tikka House,497,3.5,2,Middle Eastern,Leslieville,2.0,2.0
The Ace,183,4.0,2,Other,Roncesvalles,1.8333333333333333,2.0
Steam Whistle Biergarten,5,4.0,0,European,Entertainment District,2.4727272727272727,2.0
Fieramosca,96,4.5,3,European,The Annex,2.3703703703703702,3.0
The Greek Grill,71,4.0,2,European,East York,1.625,2.0
Hacienda las Américas,60,4.5,2,Mexican,Downtown,1.8,2.0
Rikkochez,55,4.5,2,Middle Eastern,Riverdale,2.0,2.0
Pizzeria Libretto Danforth,306,4.0,2,American,Greektown,1.8571428571428572,2.0
Bukhara Grill,61,4.0,2,Asian,Swansea,2.5,2.0
Woodlot Restaurant,264,4.0,3,Other,Little Italy,2.272727272727273,3.0
